label,latitude,longitude,region,department,class_name,nearest_train_station
larnaud,46.706103332,5.457630233,bourgogne franche comté,jura,city,Lons-le-Saunier
brie,43.206824744,1.517381142,occitanie,ariège,city,Crépy-Couvron
la latette,46.752350191,6.095555289,bourgogne franche comté,jura,city,Frasne
camarade,43.069587717,1.277445001,occitanie,ariège,city,Cazères-sur-Garonne
lavans les st claude,46.38753267,5.769814173,bourgogne franche comté,jura,city,Molinges
camon,43.021739562,1.962204382,occitanie,ariège,city,Limoux-Flassian
lavans les st claude,46.38753267,5.769814173,bourgogne franche comté,jura,city,Molinges
carcanieres,42.707804729,2.123895517,occitanie,ariège,city,Quillan
lavans les st claude,46.38753267,5.769814173,bourgogne franche comté,jura,city,Molinges
cazals des bayles,43.092880528,1.939678458,occitanie,ariège,city,Bram
lavigny,46.716723376,5.605508663,bourgogne franche comté,jura,city,Domblans-Voiteur
cerizols,43.119836867,1.067612925,occitanie,ariège,city,Martres-Tolosane
lavigny,46.716723376,5.605508663,bourgogne franche comté,jura,city,Domblans-Voiteur
chateau verdun,42.781483366,1.677300872,occitanie,ariège,city,Les Cabannes
lect,46.394732447,5.672467609,bourgogne franche comté,jura,city,Molinges
lemuy,46.889451599,5.982617343,bourgogne franche comté,jura,city,Andelot
lent,46.75111933,5.976163891,bourgogne franche comté,jura,city,Paul-Émile-Victor
longcochon,46.770954536,6.075184305,bourgogne franche comté,jura,city,Frasne
la loye,47.030432038,5.552809277,bourgogne franche comté,jura,city,Montbarrey
marnezia,46.575761446,5.636094441,bourgogne franche comté,jura,city,Lons-le-Saunier
mesnay,46.900018759,5.818250676,bourgogne franche comté,jura,city,Arbois
mignovillard,46.77774079,6.140716692,bourgogne franche comté,jura,city,Frasne
mignovillard,46.77774079,6.140716692,bourgogne franche comté,jura,city,Frasne
molain,46.825383647,5.816773193,bourgogne franche comté,jura,city,Andelot
molay,47.015340653,5.423234616,bourgogne franche comté,jura,city,Tavaux-Solvay
monay,46.83829832,5.5952518520000005,bourgogne franche comté,jura,city,St-Lothain
monnieres,47.114115559,5.460997029,bourgogne franche comté,jura,city,Dole
montholier,46.894594959,5.639042641,bourgogne franche comté,jura,city,Poligny
montigny les arsures,46.937006746,5.776683918,bourgogne franche comté,jura,city,Arbois
montigny sur l ain,46.705139659,5.791865625,bourgogne franche comté,jura,city,Champagnole
montmirey la ville,47.217230686,5.51656716,bourgogne franche comté,jura,city,Auxonne
montmirey le chateau,47.229925885,5.533745481,bourgogne franche comté,jura,city,Auxonne
montrond,46.786828301,5.843837081,bourgogne franche comté,jura,city,Champagnole
morbier,46.557287203,6.016436172,bourgogne franche comté,jura,city,Morbier
mournans charbonny,46.776692106,5.9905407870000005,bourgogne franche comté,jura,city,Paul-Émile-Victor
les moussieres,46.326880758,5.872391483,bourgogne franche comté,jura,city,St-Claude
moutoux,46.790797471,5.943902595,bourgogne franche comté,jura,city,Champagnole
les trois chateaux,46.419552874,5.35630085,bourgogne franche comté,jura,city,St-Amour
nancuise,46.473943072,5.529454815,bourgogne franche comté,jura,city,Cousance
les nans,46.79445617,5.973982908,bourgogne franche comté,jura,city,Champagnole
nevy les dole,47.002726559,5.51581086,bourgogne franche comté,jura,city,Tavaux-Solvay
nevy sur seille,46.735070332,5.644726458,bourgogne franche comté,jura,city,Domblans-Voiteur
offlanges,47.203818512,5.560676356,bourgogne franche comté,jura,city,Orchamps
onoz,46.448708512,5.663245225,bourgogne franche comté,jura,city,Molinges
orgelet,46.519453561,5.598867642,bourgogne franche comté,jura,city,Cousance
pagney,47.249741201,5.699474911,bourgogne franche comté,jura,city,Ranchot
passenans,46.804080834,5.623869417,bourgogne franche comté,jura,city,St-Lothain
peseux,46.993310722,5.366668785,bourgogne franche comté,jura,city,Chemin-Peseux
picarreau,46.754640248,5.756814531,bourgogne franche comté,jura,city,Poligny
plasne,46.794313254,5.690542388,bourgogne franche comté,jura,city,St-Lothain
poids de fiole,46.594688625,5.622458481,bourgogne franche comté,jura,city,Lons-le-Saunier
poligny,46.818861886,5.773947475,bourgogne franche comté,jura,city,Poligny
pont du navoy,46.731661169,5.789236418,bourgogne franche comté,jura,city,Champagnole
rahon,46.993964981,5.4744054680000005,bourgogne franche comté,jura,city,Tavaux-Solvay
rotalier,46.583165602,5.476647948,bourgogne franche comté,jura,city,Cousance
rothonay,46.515275321,5.527285899,bourgogne franche comté,jura,city,Cousance
rouffange,47.22663237,5.708697328,bourgogne franche comté,jura,city,Ranchot
les rousses,46.498235856,6.06968778,bourgogne franche comté,jura,city,Morez
les rousses,46.498235856,6.06968778,bourgogne franche comté,jura,city,Morez
ste agnes,46.614706582,5.474621246,bourgogne franche comté,jura,city,Lons-le-Saunier
st claude,46.408714547,5.875920618,bourgogne franche comté,jura,city,St-Claude
st cyr montmalin,46.958784809,5.722490744,bourgogne franche comté,jura,city,Arbois
st didier,46.708595427,5.511372071,bourgogne franche comté,jura,city,Lons-le-Saunier
val suran,46.386313329,5.443105612,bourgogne franche comté,jura,city,St-Amour
val suran,46.386313329,5.443105612,bourgogne franche comté,jura,city,St-Amour
coteaux du lizon,46.412246961,5.798719091,bourgogne franche comté,jura,city,St-Claude
st maur,46.606897999,5.595990619,bourgogne franche comté,jura,city,Lons-le-Saunier
st maurice crillat,46.568096837,5.834026935,bourgogne franche comté,jura,city,St-Laurent (Jura)
salans,47.160113967,5.794392815,bourgogne franche comté,jura,city,St-Vit
santans,47.042099833,5.665477502,bourgogne franche comté,jura,city,Montbarrey
sarrogna,46.474500649,5.617408824,bourgogne franche comté,jura,city,Molinges
songeson,46.647137037,5.830542779,bourgogne franche comté,jura,city,La Chaux-des-Crotenay
soucia,46.540172646,5.757784209,bourgogne franche comté,jura,city,St-Laurent (Jura)
souvans,46.97920539,5.553672934,bourgogne franche comté,jura,city,Montbarrey
tassenieres,46.923022059,5.512541577,bourgogne franche comté,jura,city,St-Lothain
la tour du meix,46.523696813,5.662745455,bourgogne franche comté,jura,city,Lons-le-Saunier
trenal,46.636413188,5.4624955790000005,bourgogne franche comté,jura,city,Lons-le-Saunier
verges,46.658826692,5.684090724,bourgogne franche comté,jura,city,Lons-le-Saunier
villerserine,46.855455889,5.639683999,bourgogne franche comté,jura,city,St-Lothain
villette les arbois,46.933518721,5.743829779,bourgogne franche comté,jura,city,Arbois
le villey,46.848011647,5.507972027,bourgogne franche comté,jura,city,St-Lothain
val sonnette,46.602897042,5.464680776,bourgogne franche comté,jura,city,Cousance
val sonnette,46.602897042,5.464680776,bourgogne franche comté,jura,city,Cousance
vincent froideville,46.79367224,5.482371739,bourgogne franche comté,jura,city,Domblans-Voiteur
vosbles valfin,46.348400035,5.52189486,bourgogne franche comté,jura,city,Oyonnax
anlezy,46.966560312,3.498985277,bourgogne franche comté,nièvre,city,Decize
anthien,47.308662574,3.724871048,bourgogne franche comté,nièvre,city,Corbigny
arleuf,47.040464565,4.015692994,bourgogne franche comté,nièvre,city,Château-Chinon
asnan,47.310372331,3.5523411510000003,bourgogne franche comté,nièvre,city,Flez-Cuzy-Tannay
aunay en bazois,47.124134471,3.719630112,bourgogne franche comté,nièvre,city,Epiry-Montreuillon
biches,46.993703901,3.654343187,bourgogne franche comté,nièvre,city,Tamnay-Châtillon
billy chevannes,47.011971519,3.461879934,bourgogne franche comté,nièvre,city,Imphy
blismes,47.122483237,3.82148616,bourgogne franche comté,nièvre,city,Epiry-Montreuillon
breves,47.429737821,3.624267859,bourgogne franche comté,nièvre,city,Flez-Cuzy-Tannay
challuy,46.94196697,3.140253373,bourgogne franche comté,nièvre,city,Nevers
champlin,47.244720142,3.45042992,bourgogne franche comté,nièvre,city,Arzembouy
champvert,46.853200997,3.523436401,bourgogne franche comté,nièvre,city,Decize
chaumot,47.251871128,3.643272447,bourgogne franche comté,nièvre,city,Corbigny
colmery,47.348513898,3.246722321,bourgogne franche comté,nièvre,city,Entrains
corbigny,47.256108779,3.689402188,bourgogne franche comté,nièvre,city,Corbigny
